Membership: Membership Type,Industry,Position,Job Function,Person Account: Mailing Country,Age
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,33
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,33
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,33
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,33
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,33
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,33
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,33
Young Member,Supplier,Engineer,Nuclear Engineer,United States,33
Young Member,Educational Institution,Professor,Nuclear Engineer,United States,33
Recent Graduate,Educational Institution,Research Assistant,Nuclear Engineer,United States,33
Young Member,,Other,Other,United States,33
Young Member,National Laboratory,Analyst,Scientist,United States,33
Young Member,Educational Institution,Engineer,Scientist,United States,33
Young Member,Educational Institution,Supervisor,Scientist,United States,33
Graduate Student,Student,Student,Student,United States,33
Graduate Student,Student,Student,Student,United States,33
Young Member,Educational Institution,Adjunct/Assistant Professor,Scientist,China,34
Recent Graduate,Educational Institution,Other,Nuclear Engineer,India,34
Young Member,Other,Research Assistant,Other,Switzerland,34
Young Member,Educational Institution,Adjunct/Assistant Professor,Educator,United Arab Emirates,34
Young Member,Educational Institution,Adjunct/Assistant Professor,Educator,United States,34
Young Member,Educational Institution,Professor,Educator,United States,34
Young Member,Engineering Firm,Chief/Senior Engineer,Mechanical Engineer,United States,34
Young Member,Engineering Firm,Engineer,Mechanical Engineer,United States,34
Established,Educational Institution,Engineer,Nuclear Engineer,United States,34
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,34
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,34
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,34
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,34
Young Member,Educational Institution,Research Assistant,Nuclear Engineer,United States,34
Established,National Laboratory,Research Assistant,Nuclear Engineer,United States,34
Young Member,Educational Institution,Adjunct/Assistant Professor,Scientist,United States,34
Young Member,National Laboratory,Engineer,Scientist,United States,34
Established,National Laboratory,Research Assistant,Scientist,United States,34
Young Member,Educational Institution,,Scientist,United States,34
Graduate Student,Student,Student,Student,United States,34
Young Member,Student,Student,Student,United States,34
Graduate Student,Student,Student,Student,United States,34
Graduate Student,Student,Student,Student,United States,34
Young Member,Engineering Firm,Project Manager,Technician,United States,34
Young Member,Educational Institution,Engineer,Mechanical Engineer,United States,35
Young Member,Manufacturer,Engineer,Mechanical Engineer,United States,35
Established,National Laboratory,Engineer,Mechanical Engineer,United States,35
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,35
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,35
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,35
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,35
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,35
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,35
Young Member,Engineering Firm,Manager,Nuclear Engineer,United States,35
Young Member,Educational Institution,Other,Nuclear Engineer,United States,35
Young Member,National Laboratory,Research Assistant,Nuclear Engineer,United States,35
Young Member,National Laboratory,Student,Nuclear Engineer,United States,35
Young Member,Other,Engineer,Other,United States,35
Established,National Laboratory,Other,Scientist,United States,35
Graduate Student,Student,Student,Student,United States,35
Student,Student,Student,Student,United States,35
Graduate Student,Student,Student,Student,United States,35
Graduate Student,Student,Student,Student,United States,35
Established,Government Agency,Adjunct/Assistant Professor,Nuclear Engineer,United Kingdom,36
